Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,25,Tech,7,7.5,7,74922
1,26,Operations,3,8.0,6,44375
0,24,Operations,3,7.0,8,82263
0,26,Operations,3,8.0,6,44375
0,29,Engineering,0,9.5,25,235405
0,32,Other,4,11.0,8,87300
1,27,Operations,3,8.5,6,44375
0,24,Operations,3,7.0,6,44375
0,24,Other,4,7.0,8,96995
1,24,Operations,3,7.0,6,44375
1,27,Other,4,8.5,9,99552
0,25,Operations,3,7.5,6,44375
0,26,Other,4,8.0,8,68880
1,29,Other,4,9.5,8,212250
0,27,Other,4,8.5,8,77795
0,33,Other,4,11.5,8,175533
1,31,Other,4,10.5,8,96367
0,31,Tech,7,10.5,8,162667
0,25,Tech,7,7.5,8,106933
1,24,Other,4,7.0,8,70417
0,27,Tech,7,8.5,8,199333
1,28,Tech,7,9.0,8,167600
0,34,Engineering,0,12.0,8,249933
0,36,Engineering,0,13.0,8,162667
0,25,Engineering,0,7.5,8,123967
0,32,Tech,7,11.0,8,195114
0,38,Other,4,14.0,8,264109
0,31,Other,4,10.5,8,111591
0,39,Finance,1,14.5,8,252348
1,26,Other,4,8.0,8,105552
0,37,Sales,6,13.5,8,175533
0,26,Operations,3,8.0,8,80132
1,25,Other,4,7.5,8,65856
0,29,Operations,3,9.5,8,101334
0,28,Operations,3,9.0,8,95094
1,24,Media,2,7.0,8,112067
0,38,Engineering,0,14.0,8,445267
0,28,Operations,3,9.0,8,97094
0,32,Tech,7,11.0,8,145680
1,23,Other,4,6.5,8,122200
0,29,Tech,7,9.5,8,215200
0,26,Media,2,8.0,8,170600
0,29,Other,4,9.5,8,195114
0,29,Other,4,9.5,7,119552
0,29,Tech,7,9.5,7,216267
0,26,Media,2,8.0,7,123000
0,29,Engineering,0,9.5,7,202333
0,28,Engineering,0,9.0,7,183467
0,32,Other,4,11.0,7,181202
0,30,Other,4,10.0,7,202333
1,26,Other,4,8.0,7,93185
0,31,Media,2,10.5,7,194400
0,30,Other,4,10.0,7,115286
1,26,Other,4,8.0,7,111591
1,27,Other,4,8.5,7,151337
0,25,Tech,7,7.5,7,136725
0,31,Tech,7,10.5,7,258917
0,35,Other,4,12.5,7,286487
1,27,Other,4,8.5,7,112067
